0 OPEN 
1765 RULE 7967e33c9f0e16c69b28583f66b0bf4a_78b083fd81371a8e1807f3602f76f839_4fbf1f3b7709cda79768f7c0d2235d77_2a56e9c26fc3b33095fa47cd9fd8766d_4fbf1f3b7709cda79768f7c0d2235d77
1773 NODE 2a56e9c26fc3b33095fa47cd9fd8766d_4fbf1f3b7709cda79768f7c0d2235d77
1780 RULEATTEMPT 9461a3a129367c3823560d3ade70f976_2a56e9c26fc3b33095fa47cd9fd8766d_4fbf1f3b7709cda79768f7c0d2235d77
1787 RULEATTEMPT 9461a3a129367c3823560d3ade70f976_2a56e9c26fc3b33095fa47cd9fd8766d_4fbf1f3b7709cda79768f7c0d2235d77
1800 RULE 9461a3a129367c3823560d3ade70f976_2a56e9c26fc3b33095fa47cd9fd8766d_4fbf1f3b7709cda79768f7c0d2235d77_63ba209aa146623c2243d75907851431_4fbf1f3b7709cda79768f7c0d2235d77
1815 Z3QUERY c37e72c10e2cbc955c53e84aa205b01e
1825 Z3RESULT 45cec7a8980d692f6f476a7f4180b15a
1836 SRULE b0423371014640855295edf04998830c_63ba209aa146623c2243d75907851431_4fbf1f3b7709cda79768f7c0d2235d77_1f8350e012bf122c699242724f3ef6cc_4fbf1f3b7709cda79768f7c0d2235d77
1852 Z3QUERY c1bfe2d8959bcb8096fcbe8a2fcbfb20
1862 Z3RESULT 45cec7a8980d692f6f476a7f4180b15a
1874 SRULE d963a5f1675c7983986cfcbd43c5a6a8_1f8350e012bf122c699242724f3ef6cc_4fbf1f3b7709cda79768f7c0d2235d77_6af0e7238f6a60d7f51141aef06c15d1_4fbf1f3b7709cda79768f7c0d2235d77
1884 NODE 6af0e7238f6a60d7f51141aef06c15d1_4fbf1f3b7709cda79768f7c0d2235d77
1888 RULEATTEMPT e2a6b201fe0fc266a58117f3bdb6af92_6af0e7238f6a60d7f51141aef06c15d1_4fbf1f3b7709cda79768f7c0d2235d77
1893 RULEATTEMPT e2a6b201fe0fc266a58117f3bdb6af92_6af0e7238f6a60d7f51141aef06c15d1_4fbf1f3b7709cda79768f7c0d2235d77
1900 RULE e2a6b201fe0fc266a58117f3bdb6af92_6af0e7238f6a60d7f51141aef06c15d1_4fbf1f3b7709cda79768f7c0d2235d77_3bea795edb360a37d0e404eb134a8886_4fbf1f3b7709cda79768f7c0d2235d77
1906 IMPLICATION 4fbf1f3b7709cda79768f7c0d2235d77_69ee204525e19a56a014005632801713
1917 Z3QUERY 201bc96cdc3bb0252f3bc188b3e8abe3
1931 Z3RESULT 45cec7a8980d692f6f476a7f4180b15a
1940 SRULE b00d89a63ee7918d6dfd602651f2f925_3bea795edb360a37d0e404eb134a8886_4fbf1f3b7709cda79768f7c0d2235d77_650108729949614fefc7044c6a195c6c_4fbf1f3b7709cda79768f7c0d2235d77
1950 NODE 650108729949614fefc7044c6a195c6c_4fbf1f3b7709cda79768f7c0d2235d77
1954 RULEATTEMPT d9c607cd8dcffa1c1e48e94a7002b938_650108729949614fefc7044c6a195c6c_4fbf1f3b7709cda79768f7c0d2235d77
1961 RULEATTEMPT d9c607cd8dcffa1c1e48e94a7002b938_650108729949614fefc7044c6a195c6c_4fbf1f3b7709cda79768f7c0d2235d77
1973 RULE d9c607cd8dcffa1c1e48e94a7002b938_650108729949614fefc7044c6a195c6c_4fbf1f3b7709cda79768f7c0d2235d77_9fa69430b9790989c7658eb3ff953e7_4fbf1f3b7709cda79768f7c0d2235d77
1982 NODE 9fa69430b9790989c7658eb3ff953e7_4fbf1f3b7709cda79768f7c0d2235d77
1989 RULEATTEMPT b4c2b7c2866edc0dddc43f3f1759b197_9fa69430b9790989c7658eb3ff953e7_4fbf1f3b7709cda79768f7c0d2235d77
1996 RULEATTEMPT b4c2b7c2866edc0dddc43f3f1759b197_9fa69430b9790989c7658eb3ff953e7_4fbf1f3b7709cda79768f7c0d2235d77
2008 RULE b4c2b7c2866edc0dddc43f3f1759b197_9fa69430b9790989c7658eb3ff953e7_4fbf1f3b7709cda79768f7c0d2235d77_a260f67b947597d6791160562eded66_4fbf1f3b7709cda79768f7c0d2235d77
2016 NODE a260f67b947597d6791160562eded66_4fbf1f3b7709cda79768f7c0d2235d77
2020 RULEATTEMPT 916242db9e74b99a3c72602f1b27dde7_a260f67b947597d6791160562eded66_4fbf1f3b7709cda79768f7c0d2235d77
2025 RULEATTEMPT d70c29635e7b8c5d8f8eb28e12504afe_a260f67b947597d6791160562eded66_4fbf1f3b7709cda79768f7c0d2235d77
2031 RULEATTEMPT d70c29635e7b8c5d8f8eb28e12504afe_a260f67b947597d6791160562eded66_4fbf1f3b7709cda79768f7c0d2235d77
2041 RULE d70c29635e7b8c5d8f8eb28e12504afe_a260f67b947597d6791160562eded66_4fbf1f3b7709cda79768f7c0d2235d77_3712ac9b9202f105a9dc5c9bd7baaf19_4fbf1f3b7709cda79768f7c0d2235d77
2049 NODE 3712ac9b9202f105a9dc5c9bd7baaf19_4fbf1f3b7709cda79768f7c0d2235d77
2054 RULEATTEMPT 291ce9beef952b406a4d9edcac79f490_3712ac9b9202f105a9dc5c9bd7baaf19_4fbf1f3b7709cda79768f7c0d2235d77
2059 RULEATTEMPT 291ce9beef952b406a4d9edcac79f490_3712ac9b9202f105a9dc5c9bd7baaf19_4fbf1f3b7709cda79768f7c0d2235d77
2064 RULE 291ce9beef952b406a4d9edcac79f490_3712ac9b9202f105a9dc5c9bd7baaf19_4fbf1f3b7709cda79768f7c0d2235d77_e5798df05caf54b2b9b991ed684929c9_4fbf1f3b7709cda79768f7c0d2235d77
2068 NODE e5798df05caf54b2b9b991ed684929c9_4fbf1f3b7709cda79768f7c0d2235d77
2071 RULEATTEMPT 82b79a931ab623dfc71ee41713422d62_e5798df05caf54b2b9b991ed684929c9_4fbf1f3b7709cda79768f7c0d2235d77
2074 RULEATTEMPT 4b844012a063e705ad9eb28f3eba64bf_e5798df05caf54b2b9b991ed684929c9_4fbf1f3b7709cda79768f7c0d2235d77
2077 RULEATTEMPT 82b79a931ab623dfc71ee41713422d62_e5798df05caf54b2b9b991ed684929c9_4fbf1f3b7709cda79768f7c0d2235d77
